,Nome,Valor
338,['Botas Pé-ligeiro\nSwiftfoot Boots'],"['R$ 6,90']"
339,"[""Tocha do Pioneiro\nTrailblazer's Torch""]","['R$ 0,44']"
340,['Guardião do Tesouro\nTreasure Keeper'],"['R$ 0,10']"
341,['Solvente Universal\nUniversal Solvent'],"['R$ 0,10']"
342,['Caixa Enigmática Desconcertante\nVexing Puzzlebox'],"['R$ 38,25']"
343,"[""Bijuteria do Viajante\nWayfarer's Bauble""]","['R$ 4,74']"
344,"[""Portal de Baldur\nBaldur's Gate""]","['R$ 9,95']"
345,['Portão do Basilisco\nBasilisk Gate'],"['R$ 0,95']"
346,['Portão do Dragão Negro\nBlack Dragon Gate'],"['R$ 0,99']"
347,['Alameda da Abundância\nBountiful Promenade'],"['R$ 39,90']"
348,['Portão da Cidadela\nCitadel Gate'],"['R$ 1,00']"
